_SAPPCTXT_HEADER_               002 8000 CHART NO 1100 OK 
22045                           033 "Formater forklaringsindeks"
22046                           028 "Formater forklaring"
22047                           026 "Formater diagram..."
22048                           022 "X-feilstolper"
22049                           022 "Y-feilstolper"
22050                           031 "Formater feilstolper"
22051                           027 "Formater feilstolper"
22052                           021 "Datakilde"
22053                           021 "Dataserie"
22054                           018 "Verdier:"
22055                           022 "X - verdier:"
22056                           028 "Ugyldig referanse"
22057                           035 "Formater differanselinjer"
22058                           031 "Formater differanselinjer"
22059                           017 "Avsl."
22060                           022 "Diagramveiviser"
22061                           028 "Formater positive stolper..."
22062                           024 "Formater pos. stolper"
22063                           030 "Formater negative stolper..."
22064                           026 "Formater neg. stolper"
22065                           049 "Andre tegningselement inneholder de siste:"
22066                           016 "Verdier"
22067                           056 "Andre tegneområde inneholder alle verdier mindre enn:"
22068                           056 "Andre tegneområde inneholder alle verdier mindre enn:"
22069                           057 "Bruk musen til å flytte segmenter mellom sirkler"
22070                           065 "Diagr. f. høyeste/laveste kurs / sluttkurs må inneh. 3 dataserier"
22074                           036 "Kan ikke bruke diagramtypen"
22075                           026 "Endre verdi..."
22076                           032 "Formater verdiområde..."
22077                           028 "Formater verdiområde"
22078                           027 "Formater diagramområde"
22079                           094 "Avstanden må være mellom 0 og 500 - oppgi en verdi som ligger i dette intervallet"
22080                           111 "Vinkelen på det første segmentet må være mellom 0 og 360 - oppgi en vinkel som ligger i dette intervallet"
22081                           104 "Størrelsen på hullet må være mellom 10 og 90 - oppgi en verdi som ligger i dette intervallet"
22082                           096 "Overlappingen må være mellom -100 og 100 - oppgi en verdi som ligger i dette intervallet"
22083                           094 "Avstanden må være mellom 0 og 200 - oppgi en verdi som ligger i dette intervallet"
22084                           114 "Størrelsen på det andre tegneområdet må være mellom 5 og 200 - oppgi en verdi som ligger i dette intervallet"
22085                           095 "Tallet må ligge mellom 1 og 31999 - oppgi et tall som ligger i dette intervallet"
22086                           020 "Avstand:"
22088                           016 "Lineær"
22089                           021 "Logaritmisk"
22090                           014 "Klokkeslett"
22091                           014 "Ingen"
22092                           031 "Zoom inn tidsskalaakse"
22093                           030 "Formater tegningsområde"
22094                           016 "Formater"
22095                           055 "Størrelsen på merkingene må være større enn null"
22096                           047 "Hovedintervallet må være større enn null"
22097                           047 "Hjelpeintervallet må være større enn null"
22098                           024 "Ugyldig verdi"
22099                           029 "Formater positive områder..."
22100                           017 "Minimum"
22101                           017 "Maksimum"
22102                           017 "Optimum"
22103                           018 "Posisjon"
22104                           034 "Formater tittel på verdiområde"
22105                           038 "Formater tittel på verdiområde..."
22106                           027 "Radarakseetikett"
22107                           016 "X-akse"
22108                           016 "Y-akse"
22109                           016 "Z-akse"
22110                           014 "Rutenett"
22111                           019 "Tegneområde"
22112                           027 "Tittel på verdiområde"
22113                           021 "Verdiområde"
22114                           019 "Negativ stolpe"
22115                           017 "Positiv stolpe"
22116                           024 "Differanselinjer"
22117                           020 "Feilstolpe"
22118                           022 "Serielinjer"
22119                           020 "Fall-linjer"
22120                           017 "Serier:"
22121                           019 "Tekstur:"
22122                           017 "Etikett:"
22123                           034 "Endre sektorer i sektordiagram"
22124                           027 "Tilføy trendlinje..."
22125                           030 "Formater trendlinje..."
22126                           026 "Formater trendlinje"
22127                           036 "Formater trendlinjeetikett..."
22128                           032 "Formater trendlinjeetikett"
