_SAPPCTXT_HEADER_               002 8000 CHART ET 1904 OK 
22079                           094 "Kauguse väärtus peab olema vahemikus 0 kuni 500. Sisestage vahemikku kuuluvad väärtused."
22080                           111 "Esimese killu nurga väärtus peab olema vahemikus 0 kuni 360. Sisestage vahemikku kuuluv nurk."
22081                           104 "Siseava läbimõõdu väärtus peab olema vahemikus 10 kuni 90. Sisestage vahemikku kuuluv väärtus."
22082                           096 "Ülekatte väärtus peab olema vahemikus -100 kuni 100. Sisestage vahemikku kuuluv väärtus."
22083                           094 "Kauguse väärtus peab olema vahemikus 0 kuni 200. Sisestage vahemikku kuuluv väärtus."
22084                           114 "Teise diagrammiala suurus peab olema vahemikus 0 kuni 200. Sisestage vahemikku kuuluv väärtus."
22085                           095 "Arv peab olema vahemikus 1 kuni 31999. Sisestage vahemikku kuuluv väärtus."
22086                           020 "Kaugus:"
22088                           016 "Lineaarne"
22089                           021 "Logaritmiline"
22090                           014 "Kellaaeg"
22091                           014 "Mitte ükski"
22092                           031 "Suumi ajatelge"
22093                           030 "Vorminda diagrammiala..."
22094                           016 "Vorminda"
22095                           055 "Märgise suurus peab olema suurem kui 0"
22096                           047 "Põhiühik peab olema suurem kui 0."
22097                           047 "Abiühik peab olema suurem kui 0."
22098                           024 "Sobimatu väärtus"
22099                           029 "Vorminda positiivsed alad..."
22100                           017 "Miimimum"
22101                           017 "Maksimum"
22102                           017 "Optimum"
22103                           018 "Koht"
22104                           034 "Vorminda väärtusevahemiku tiitel"
22105                           038 "Vorminda väärtusevahemiku tiitel..."
22106                           027 "Radiaaltelje silt"
22107                           016 "X-telg"
22108                           016 "Y-telg"
22109                           016 "Z-telg"
22110                           014 "Ruudustik"
22111                           019 "Diagrammiala"
22112                           027 "Väärtusevahemiku tiitel"
22113                           021 "Väärtusevahemik"
22114                           019 "Negatiivsed tulbad"
22115                           017 "Positiivsed tulba"
22116                           024 "Miinimum-maksimumjooned"
22117                           020 "Veatulbad"
22118                           022 "Sarjajooned"
22119                           020 "Viitejooned"
22120                           017 "Sari:"
22121                           019 "Tekstuur:"
22122                           017 "Silt:"
22123                           034 "Muuda sektordiagrammi kilde"
22124                           027 "Lisa trendijoon..."
22125                           030 "Vorminda trendijoon..."
22126                           026 "Vorminda trendijoon"
22127                           036 "Vorminda trendijoone silt..."
22128                           032 "Vorminda trendijoone silt"
22129                           020 "Trendijoon"
22130                           025 "Trendijoone silt"
22131                           022 "Ruumiline vaade..."
22132                           049 "Pöörde väärtus peab olema vahemikus 0 kuni 360"
22133                           048 "Kõrguse väärtus peab olema vahemikus -90 kuni 90"
22134                           052 "Perspektiivi väärtus peab olema vahemikus 0 kuni 100"
22135                           024 "Sarja (Z) telg:"
22136                           026 "Väärtuse (Y) telg:"
22138                           022 "Vorminda põrand"
22139                           026 "Vorminda põrand..."
22140                           022 "Vorminda seinad"
22141                           026 "Vorminda seinad..."
22142                           015 "&Kopeeri"
22143                           021 "Lünga sügavus:"
22144                           025 "Andmeallikas..."
22145                           025 "Vorminda positiivsed alad"
22146                           030 "Salvesta mallina..."
22147                           060 "Diagrammifailid (*.icc)|*.icc|Kõik failid (*.*) | *.* ||"
22148                           026 "Salvesta mallina"
22149                           089 "Ajatelg on liiga suur. See kohandatakse automaatselt."
22151                           027 "Laadi mall..."
22152                           043 "Lõikumine väärtusetelje (X) maks. väärtusel"
22153                           023 "Laadi mall"
22154                           036 "Väärtusetelje (X) lõikumispunkt:"
22155                           043 "Lõikumine väärtusetelje (Y) maks. väärtusel"
22156                           032 "Väärtusetelje lõikumispunkt:"
22157                           116 "Libiseva keskmise perioodide arv peab olema vähemalt 2 ja väiksem kui andmepunktide arv."
22158                           080 "Prognoosi väärtused ette- ja tahasuunas peavad olema suuremad kui 0."
22159                           021 "Radiaaldiagrammi silt"
22160                           032 "Vorminda radiaaldiagr. silti..."
22161                           028 "Vorminda radiaaldiagr. silti"
22162                           048 "Kõrguse väärtus peab olema vahemikus -45 kuni 45"
22163                           047 "Kõrguse väärtus peab olema vahemikus 10 kuni 90"
22164                           018 "3D-vaade"
22165                           051 "Laiuse väärtus peab olema suurem kui 0!"
22166                           027 "Vorminda andmetabel"
22167                           031 "Vorminda andmetabel..."
22168                           020 "Andmetabel"
22169                           028 "Kategooriatelg (Y)"
22170                           025 "Väärtusetelg (X)"
22173                           117 "Alguskategooria ei saa olla väiksem kui 1. Väärtust korrigeeritakse vastavalt."
22174                           113 "Nähtavate kategooriate arv ei saa olla väiksem kui 1. Väärtust korrigeeritakse vastavalt."
22175                           039 "Lisa normaaljaotus..."
