_SAPPCTXT_HEADER_               002 8000 CHART TH 8600 OK 
22011                           014 "เลิกทำ"
22012                           027 "สายการเชื่อมต่อ (&C)"
22014                           030 "ขนาดของพล็อตที่สอง(&S)"
22015                           021 "เส้นดรอป(&D)"
22018                           032 "มุมของส่วนแบ่งแรก(&A):"
22020                           030 "ขนาดของรูโดนัท(&D):"
22021                           012 "CW"
22022                           032 "แสดงฟองค่าลบ(&S)"
22023                           033 "จัดให้พอดีกับขนาดฟอง:"
22024                           022 "% ของค่าตั้งต้น"
22025                           031 "จัดรูปแบบจุดข้อมูล(&F) ..."
22026                           027 "จัดรูปแบบจุดข้อมูล"
22027                           032 "จัดรูปแบบป้ายข้อมูล(&F) ..."
22028                           028 "จัดรูปแบบป้ายข้อมูล"
22029                           031 "จัดรูปแบบป้ายข้อมูล(&F) ..."
22030                           027 "จัดรูปแบบป้ายข้อมูล"
22031                           018 "มาตรฐาน"
22032                           025 "จัดรูปแบบแกน(&F) ..."
22033                           021 "จัดรูปแบบแกน"
22034                           060 "ค่าต่ำสุดต้องมากกว่าศูนย์"
22035                           055 "ค่าต่ำสุดต้องน้อยกว่าค่าสูงสุด"
22036                           031 "จัดรูปแบบเส้นพิกัด(&F) ..."
22037                           026 "จัดรูปแบบเส้นพิกัด"
22038                           027 "จัดรูปแบบเส้นที่ลากดิ่งลง"
22039                           031 "จัดรูปแบบเส้นที่ลากดิ่งลง(&F)"
22040                           029 "จัดรูปแบบ Series Lines"
22041                           033 "จัดรูปแบบ Series Lines(&F) .."
22042                           027 "จัดรูปแบบคีย์คำอธิบาย"
22043                           029 "จัดรูปแบบดัชนีคำอธิบาย"
22044                           031 "จัดรูปแบบคีย์คำอธิบาย(&F)..."
22045                           033 "จัดรูปแบบดัชนีคำอธิบาย(&F) ..."
22046                           028 "จัดรูปแบบคำอธิบาย(&F) ..."
22047                           026 "จัดรูปแบบแผนภูมิ(&F) ..."
22048                           022 "แท่งข้อผิดพลาด X"
22049                           022 "แท่งข้อผิดพลาด Y"
22050                           031 "จัดรูปแบบแท่งข้อผิดพลาด(&F)"
22051                           027 "จัดรูปแบบของแท่งข้อผิดพลาด"
22052                           021 "แหล่งข้อมูล"
22053                           021 "ชุดข้อมูล"
22054                           018 "ค่า (&V) :"
22055                           022 "X - ค่า(&X):"
22056                           028 "การอ้างอิงไม่ถูกต้อง!"
22057                           035 "จัดรูปแบบเส้นสูง-ต่ำ(&F) ..."
22058                           031 "จัดรูปแบบเส้นสูง-ต่ำ"
22059                           017 "เสร็จสิ้น (&F)"
22060                           022 "วิซาร์ทของแผนภูมิ"
22061                           028 "จัดรูปแบบแท่งขึ้น(&F) ..."
22062                           024 "จัดรูปแบบแท่งขึ้น"
22063                           030 "จัดรูปแบบแท่งลง(&F) ..."
22064                           026 "จัดรูปแบบแท่งลง"
22065                           049 "องค์ประกอบพล็อตที่สองมีสุดท้าย (&S):"
22066                           016 "ค่า"
22067                           056 "องค์ประกอบพล็อตที่สองมีค่าที่เล็กกว่า (&S):"
22068                           056 "องค์ประกอบพล็อตที่สองมีค่าที่เล็กกว่า (&S):"
22069                           057 "ใช้เมาส์เลื่อนส่วนเล็กในส่วนแบ่งของวงกลม"
22070                           065 "แผนภูมิหุ้นสูง-ต่ำ-ปิดต้องมี 3 ชุดข้อมูล"
22074                           036 "ไม่สามารถใช้ประเภทแผนภูมิ"
22075                           026 "เปลี่ยนค่า (&V) ..."
22076                           032 "จัดรูปแบบช่วงค่า(&F) ..."
22077                           028 "จัดรูปแบบช่วงค่า"
22078                           027 "จัดรูปแบบพื้นที่แผนภูมิ"
22079                           094 "ระยะห่างต้องอยู่ระหว่าง 0 ถึง 500 พยายามป้อนค่าในช่วงนี้อีกครั้ง"
22080                           111 "มุมของเสี้ยวแรกต้องอยู่ระหว่าง 0 ถึง 360 องศา พยายามป้อนมุมในช่วงนี้อีกครั้ง"
22081                           104 "ขนาดของโดนัทต้องอยู่ระหว่าง 10 ถึง 90 พยายามป้อนค่าในช่วงนี้อีกครั้ง"
22082                           096 "โอเวอร์แลปต้องอยู่ระหว่าง -100 ถึง 100 พยายามป้อนค่าในช่วงนี้อีกครั้ง"
22083                           094 "ระยะห่างต้องอยู่ระหว่าง 0 ถึง 200 พยายามป้อนค่าในช่วงนี้อีกครั้ง"
22084                           114 "ขนาดของพื้นที่พล็อตต้องอยู่ระหว่าง 5 ถึง 200 พยายามป้อนค่าในช่วงนี้อีกครั้ง"
22085                           095 "ตัวเลขต้องอยู่ระหว่าง 1 ถึง 31999 พยายามป้อนตัวเลขในช่วงนี้อีกครั้ง"
22086                           020 "ระยะห่าง (&D):"
22088                           016 "แบบเส้นตรง"
22089                           021 "แบบลอการิทึม"
22090                           014 "เวลา"
