_SAPPCTXT_HEADER_               002 8000 CHART UK 1504 OK 
20112                           081 "Недостатньо пам'яті. Закрийте один або декілька застосунків."
20113                           044 "Вибраний стиль не існує."
20114                           058 "Розмір шрифту повинен бути між 1 та 1635."
20115                           089 "Вибраний шрифт недоступний у вашій системі. Ви все ще бажаєте його використати?"
20119                           020 "&Об'єкт..."
20128                           057 "Коефіцієнт масштабування повинен бути між 25% та 400%."
20141                           055 "Будь ласко, введіть значення більше або рівне 0!"
20142                           055 "Будь ласко, введіть значення більше або рівне 1!"
20145                           079 "Кількість сторінок, що адаптуються, щонайменше 1 та щонайбільше 100"
20147                           014 "Високий"
20148                           016 "Середній"
20149                           013 "Низький"
20150                           016 "Чернетка"
20154                           023 "Форматувати легенду"
20162                           091 "Принтер не інстальовано, або не визначено як стандартний принтер."
22000                           031 "&Форматув.область діаграми..."
22001                           024 "&Тип діаграми..."
22002                           025 "&Джерело даних..."
22003                           027 "&Опції діаграми..."
22004                           021 "Форматувати графік"
22005                           020 "Тип діаграми"
22006                           023 "Опції діаграми"
22007                           032 "&Форматувати серії даних..."
22008                           017 "&Видалити"
22009                           028 "Форматувати серії даних"
22010                           019 "&Перекриття:"
22011                           014 "Відмінити"
22012                           027 "&Лінії з'єднання"
22014                           030 "&Розмір другого графіка"
22015                           021 "&Базові лінії"
22018                           032 "&Кут першого сегмента:"
22020                           030 "&Розмір внутрішнього кола:"
22021                           012 "КТ"
22022                           032 "&Показати негативні бульбашки"
22023                           033 "Припасувати розмір бульбашки до:"
22024                           022 "% як усталено"
22025                           031 "&Форматування точки даних..."
22026                           027 "Форматування точки даних"
22027                           032 "&Форматувати мітки даних..."
22028                           028 "Форматувати мітки даних"
22029                           031 "&Форматувати мітку даних..."
22030                           027 "Форматувати мітку даних"
22031                           018 "Стандарт"
22032                           025 "&Форматувати вісь..."
22033                           021 "Форматувати вісь"
22034                           060 "Значення мінімума повинно бути більше нуля."
22035                           055 "Мінімум повинен бути менше, ніж максимум."
22036                           031 "&Форматувати лінії сітки..."
22037                           026 "Форматувати лінії сітки"
22038                           027 "Форматувати базові лінії"
22039                           031 "&Форматувати базові лінії..."
22040                           029 "Форматувати лінії серій"
22041                           033 "&Форматувати лінії серій..."
22042                           027 "Форматувати ключ легенди"
22043                           029 "Форматувати індекс легенди"
22044                           031 "&Форматувати ключ легенди..."
22045                           033 "&Форматувати індекс легенди..."
22046                           028 "&Форматувати легенду..."
22047                           026 "&Форматувати графік..."
22048                           022 "Смуга X помилок"
22049                           022 "Смуга Y помилок"
22050                           031 "&Форматувати смуги помилок..."
22051                           027 "Форматувати смуги помилок"
22052                           021 "Джерело даних"
22053                           021 "Ряд даних"
22054                           018 "&Значення:"
22055                           022 "&X - Значення:"
22056                           028 "Недійсне посилання!"
22057                           035 "&Форматувати лінії діапазонів..."
22058                           031 "Форматувати лінії діапазонів"
22059                           017 "&Завершити"
22060                           022 "Майстер діаграм"
22061                           028 "&Форматувати позит.смуги..."
22062                           024 "Форматувати позит.смуги"
22063                           030 "&Форматувати негатив.смуги..."
22064                           026 "Форматувати негатив.смуги"
22065                           049 "&Другий елемент креслення містить останні:"
22066                           016 "Значення"
22067                           056 "&Другий елемент креслення містить усі значення менш ніж:"
22068                           056 "&Другий елемент креслення містить усі значення менш ніж:"
22069                           057 "Переміщуйте сегменти між колами за допомогою миші."
22070                           065 "Щоденна фондова гістограма повинна містити три ряди."
22074                           036 "Тип діаграми непридатний."
22075                           026 "&Змінити значення..."
22076                           032 "&Форматув.діапазон значення..."
22077                           028 "Форматув.діапазон значення"
22078                           027 "Форматув.область діаграми"
22079                           094 "Відступ повинен бути між 0 та 500. Введіть значення у цьому діапазоні."
22080                           111 "Кут першого сегмента повинен бути між 0 та 360. Введіть кут у цьому діапазоні."
22081                           104 "Розмір внутрішнього кола повинен бути між 10 та 90. Введіть значення у цьому діапазоні."
22082                           096 "Перекриття повинне бути між -100 та 100. Введіть значення у цьому діапазоні."
22083                           094 "Відступ повинен бути між 0 та 200. Введіть значення у цьому діапазоні."
22084                           114 "Розмір другої області креслення повинен бути між 5 та 500. Введіть значення у цьому діапазоні."
22085                           095 "Номер повинен бути між 1 та 31999. Введіть номер у цьому діапазоні."
22086                           020 "&Відступ:"
22088                           016 "Лінійний"
22089                           021 "Логарифмічний"
22090                           014 "Час"
22091                           014 "Немає"
22092                           031 "&Збільшити вісь шкали часу"
22093                           030 "&Форматув.область креслення..."
22094                           016 "Форматувати"
22095                           055 "Розмір маркера повинен бути більше 0"
22096                           047 "Основний елемент повинен бути більше 0."
22097                           047 "Допоміжний елемент повинен бути більше 0."
22098                           024 "Недійсне значення"
22099                           029 "&Формат.позитивні області..."
22100                           017 "Мінімум"
22101                           017 "Максимум"
22102                           017 "Оптимум"
22103                           018 "Позиція"
22104                           034 "Формат.заголовок діапазону значень"
22105                           038 "&Формат.заголовок діапазону значень..."
22106                           027 "&Підписи осей пелюст.діагр."
22107                           016 "Вісь X"
22108                           016 "Вісь Y"
22109                           016 "Вісь Z"
22110                           014 "Сітка"
22111                           019 "Область креслення"
22112                           027 "Заголовок діапазона значень"
22113                           021 "Діапазон значень"
22114                           019 "Негативні смуги"
22115                           017 "Позитивні смуги"
22116                           024 "Лінії діапазонів"
22117                           020 "Смуги помилок"
22118                           022 "Лінії рядів"
22119                           020 "Базові лінії"
22120                           017 "Ряд:"
22121                           019 "&Текстура:"
22122                           017 "Підпис:"
22123                           034 "Змінити сектори кола"
22124                           027 "&Додати лінію тенденції..."
22125                           030 "&Форматув.лінію тенденції..."
22126                           026 "Форматув.лінію тенденції"
22127                           036 "&Форматув.підпис лінії тенденції..."
22128                           032 "Форматув.підпис лінії тенденції"
22129                           020 "Лінія тенденції"
22130                           025 "Підпис лінії тенденції"
22131                           022 "&Тривимірний вид..."
22132                           049 "Обертання повинно бути між 0 та 360."
22133                           048 "Висота повинна бути між -90 та 90."
22134                           052 "Перспектива повинна бути між 0 та 100."
22135                           024 "&Вісь (Z) рядків:"
22136                           026 "&Вісь (Y) значень:"
22138                           022 "Форматувати підлогу"
22139                           026 "&Форматувати підлогу..."
22140                           022 "Форматувати стіни"
22141                           026 "&Форматувати стіни..."
22142                           015 "&Копіювати"
22143                           021 "&Глибина проміжку:"
22144                           025 "&Джерело даних..."
22145                           025 "Формат.позитивні області"
22146                           030 "&Зберегти як шаблон..."
22147                           060 "Файли діагр. (*.icc)|*.icc|Усі файли (*.*) | **********.* ||"
22148                           026 "Зберегти як шаблон"
22149                           089 "Розмір осі шкали часу завеликий. Вона буде адаптована автоматично."
22151                           027 "&Завантажити шаблон..."
22152                           043 "Вісь (X) значень перетин.при макс.значені"
22153                           023 "Завантажити шаблон"
22154                           036 "Вісь (X) значень перетинається при:"
22155                           043 "Вісь (Y) значень перетин.при макс.значені"
22156                           032 "Вісь значень перетинається при:"
22157                           116 "Число періодів при змінному середньому значенні повинно бути не менше 2 та менше, ніж число точок даних."
22158                           080 "Значення прогнозу вперед та назад повинні бути більше 0."
22159                           021 "Підпис сіткової осі"
22160                           032 "&Форматув.підпис сіткової осі..."
22161                           028 "Форматув.підпис сіткової осі"
22162                           048 "Висота повинна бути між -45 та 45."
22163                           047 "Висота повинна бути між 10 та 90."
22164                           018 "Тривимірне подання"
22165                           051 "Ширина дня повинна бути більше 0!"
22166                           027 "Форматувати таблицю даних"
22167                           031 "&Форматувати таблицю даних..."
22168                           020 "Таблиця даних"
22169                           028 "&Вісь (Y) категорії"
22170                           025 "&Вісь (X) значенння"
22173                           117 "Початкова категорія не може бути менше 1. Значення буде відповідно адаптовано."
22174                           113 "Кількість видимих категорій не може бути менше 1. Значення буде відповідно адаптовано."
22175                           039 "&Додати стандартне розповсюдження..."
22176                           042 "&Форматувати стандартне розповсюдження..."
22177                           019 "&Друк..."
22178                           024 "&Попередній перегляд"
22179                           066 "Початкове значення повинне відрізнятися від кінцевого."
22180                           077 "- Клацніть 'Так', щоб змінити всі ряди даних на вибраний тип діаграми."
22181                           054 "- Клацніть 'Ні', щоб залишити поточний тип діаграми."
22191                           029 "&Класи гістограм"
22192                           032 "Стандартне розповсюдження:"
