_SAPPCTXT_HEADER_               002 8000 CHART SK 1404 OK 
4264                            019 "Sekunda(y)"
4265                            022 "Pracovná doba"
4270                            014 "Kvar."
4271                            014 "Tıdeò"
4400                            019 "Oznaèenie"
4402                            014 "Bez"
4403                            014 "Text"
4404                            016 "Lineárne"
4405                            021 "Logaritmicky"
4406                            019 "Potenciálne"
4407                            021 "Exponenciálne"
4408                            016 "Pohyblivı"
4409                            017 "Priemer"
4415                            021 "Pôvodná ve¾kos"
4416                            015 "Ved¾a seba"
4417                            024 "Úprava"
4418                            018 "Proporc.úprava"
4419                            018 "Proporc.vyplnenie"
10012                           015 "dòa:"
10013                           027 "A4 (210 * 297 mm)"
10014                           032 "Letter (8,5 * 11 palcov)"
10015                           031 "Legal (8,5 * 14 palcov)"
10016                           016 "Normálne"
10017                           027 "Strana %ld sa tlaèí"
10018                           020 "Od %s"
10019                           054 "Vyskytla sa všeobecná chyba pri tlaèi"
10020                           070 "Pre tlaè nie je dostatok pamäte na pevnom disku"
10021                           055 "Nie je dostatok pamäte na pevnom disku"
10022                           097 "Nie je inštalovaná tlaèiareò. Inštalujte tlaèiareò a opakujte operáciu tlaèe"
10023                           028 "\t&[view]\t&[date]"
10024                           024 "\tStrana &[page]"
10027                           098 "Zadaná tlaèiareò alebo pripojenie na tlaèiareò sú neplatné. Pouije sa štandardná tlaèiareò"
12000                           016 "Pondelok"
12001                           017 "Utorok"
12002                           019 "Streda"
12003                           018 "Štvrtok"
12004                           016 "Piatok"
12005                           018 "Sobota"
12006                           016 "Nede¾a"
12007                           017 "Deò v tıdni"
12008                           019 "Víkendy"
12009                           018 "Sviatky"
12010                           018 "Dni dovolenky"
12011                           025 "Dni prestojov"
12321                           015 "Prevzatie"
15000                           016 "Naspä"
15001                           019 "\t Ctrl+Z"
15002                           014 "Presunutie"
15004                           021 "Zmena ve¾kosti"
15007                           023 "Nie je k dispozícii"
18000                           014 "Font"
18001                           016 "Font:"
18003                           022 "Štıl:"
18005                           016 "Ve¾kos"
18007                           017 "Farba:"
18009                           017 "Efekty"
18010                           024 "Preškrtnuté"
18011                           020 "Podèiarknuté"
18012                           017 "Náh¾ad"
18013                           019 "Graffiti"
18600                           015 "Tlaè"
18601                           017 "Tlaèiareò"
18604                           024 "Presmer.tlaèe do súboru"
18605                           024 "Vlastnosti..."
18606                           021 "Oblas tlaèe"
18607                           014 "Všetko"
18608                           022 "Strany od:"
18611                           014 "do:"
18614                           016 "Kópie"
18615                           028 "Poèet kópií:"
18619                           018 "Triedenie"
18620                           024 "Náh¾ad strany"
18621                           024 "Nastavenie strany..."
18700                           014 "Strana"
18701                           022 "Ve¾kos papiera:"
18703                           025 "Kvalita tlaèe:"
18705                           021 "Zarovnanie"
18706                           019 "Vertikálne"
18707                           021 "Horizontálne"
18708                           016 "Centrovanie"
18709                           023 "Horizontálne"
18710                           021 "Vertikálne"
18800                           022 "Okraje strán"
18801                           016 "Okraje"
18802                           016 "V¾avo:"
18805                           017 "Vpravo:"
18808                           015 "Hore:"
18811                           018 "Dole:"
18814                           017 "Odstupy"
18815                           018 "Hlavièka:"
18818                           018 "Pätièka:"
18821                           017 "Náh¾ad"
18900                           017 "Monosti"
18901                           017 "Zmena mierky"
18902                           017 "Zmena mierky:"
18905                           018 "Prispôsobenie k:"
18908                           017 "Strana(y)"
18909                           019 "Vertikálne"
18910                           021 "Horizontálne"
18911                           021 "Monosti..."
19000                           015 "Tlaè"
20000                           029 "%ld d, %ld h, %ld m"
20001                           022 "%ld h, %ld m"
20002                           014 "DHM,"
20017                           114 "Okraje strany na tlaèiarni sú širšie ako okraje strany.\nMajú sa okraje prispôsobi strane?"
20018                           056 "Ak chcete tlaèi, vyberte tlaèiareò"
20019                           020 "Nastavenie strany"
20020                           014 "Auto"
20023                           041 "K dispozícii je príliš málo zdrojov"
20024                           029 "Chyba pri ukladaní"
20025                           030 "Chyba pri zavádzaní"
20026                           017 "Farba:"
20027                           022 "Popredie:"
20028                           022 "Pozadie:"
20029                           023 "Farba šrafovania:"
20030                           016 "Od:"
20031                           014 "Do:"
20032                           019 "Vzor:"
20033                           017 "Šrafovanie:"
20034                           020 "Priebeh:"
20064                           019 "Tlaè..."
20066                           024 "Formát strany..."
20072                           030 "Uzavretie náh¾adu strany"
20087                           017 "Neznáme"
20088                           014 "Tenkı"
20089                           021 "Extra ¾ahkı"
20090                           015 "¼ahkı"
20091                           017 "Regulér."
20092                           016 "Stredné"
20093                           018 "Polotuène"
20094                           014 "Tuène"
20095                           020 "Extratuène"
20096                           015 "akı"
20097                           021 "Extra akı"
20098                           017 "Kurzíva"
20099                           017 "Neznáme"
20105                           019 "Podèiarknuté"
20108                           022 "AaBbCcDdYyZz"
20109                           016 "Objekt"
20110                           017 "Objekty"
20111                           033 "Súbor nemohol by naèítanı"
20112                           081 "Nedostatok pamäti. Zatvorte jednu alebo viac aplikácií"
20113                           044 "Vybranı štıl neexistuje"
20114                           058 "Ve¾kos fontu musí by medzi 1 a 1635"
20115                           089 "Vybranı font v systéme nie je k dispozícii. Chcete ho napriek tomu pouíva?"
20119                           020 "Objekt..."
20128                           057 "Koeficient zväèšenia musí by medzi 25 % a 400 %"
20141                           055 "Zadajte hodnotu väèšiu alebo rovnajúcu sa 0"
20142                           055 "Zadajte hodnotu väèšiu alebo rovnú 1"
20145                           079 "Poèet upravovanıch strán musí by medzi 1 a 100"
20147                           014 "Vysoké"
20148                           016 "Stredné"
20149                           013 "Nízke"
20150                           016 "Návrh"
20154                           023 "Formátovanie legendy"
20162                           091 "Tlaèiareò nie je nainštalovaná alebo iadna tlaèiareò nie je definovaná ako štandardná."
22000                           031 "Formátovanie plochy diagramu..."
22001                           024 "Typ diagramu..."
22002                           025 "Zdroj dát..."
22003                           027 "Monosti diagramu..."
22004                           021 "Formátov.vıkresu"
22005                           020 "Typ diagramu"
22006                           023 "Monosti diagramu"
22007                           032 "Formátovanie dátovej rady"
22008                           017 "Vımaz"
22009                           028 "Formátovanie dátovej rady"
22010                           019 "Prekrytie:"
22011                           014 "Naspä"
22012                           027 "Spojovacie èiary"
22014                           030 "Ve¾kos druhého vıkresu"
22015                           021 "Referenèné èiary"
22018                           032 "Uhol prvého segmentu:"
22020                           030 "Ve¾kos vnútorného kruhu:"
22021                           012 "KT"
22022                           032 "Zobrazenie zápornıch bublín"
22023                           033 "Úprava ve¾kosti bubliny na:"
22024                           022 "% štandardu"
22025                           031 "Formátovanie dát.bodu..."
22026                           027 "Formátovanie dát.bodu"
22027                           032 "Formátovanie popisu dát..."
22028                           028 "Formátovanie popisu dát"
22029                           031 "Formátovanie popisu dát..."
22030                           027 "Formátovanie popisu dát"
22031                           018 "Štandard"
22032                           025 "Formátovanie osi..."
22033                           021 "Formátovanie osi"
22034                           060 "Minimálna hodnota musí by väèšia ako nula"
22035                           055 "Minimum musí by menšie ako maximum"
