_SAPPCTXT_HEADER_               002 8000 CHART SK 1404 OK 
26003                           020 "Zobrazenie hodnoty"
26004                           022 "Zobrazenie percent"
26005                           020 "Zobrazenie popisu"
26006                           032 "Zobrazenie popisu a percent"
26007                           026 "Zobraz.ve¾kosti bubliny"
26009                           030 "Zobrazenie popisu a hodnoty"
26010                           029 "Zobrazenie hodnoty X a Y"
26011                           036 "Zobraz.popisu a ve¾kosti bubliny"
26100                           016 "Legenda"
26101                           014 "Typ"
26103                           027 "Referenèné bubliny"
26104                           018 "Zobrazenie"
26105                           024 "Maximálna ve¾kos:"
26108                           019 "Poz./ve¾k.menite¾."
26109                           025 "Potlaèené"
26200                           014 "Èiara"
26201                           014 "Èiara"
26202                           020 "Automaticky"
26203                           017 "Defin.uívate¾om"
26204                           017 "Druh:"
26206                           017 "Farba:"
26208                           017 "Vyhladenie"
26209                           016 "Oznaèenie"
26210                           020 "Automaticky"
26211                           015 "iadne"
26212                           017 "Defin.uívate¾om"
26213                           017 "Druh:"
26215                           022 "Popredie:"
26217                           022 "Pozadie:"
26219                           016 "Ve¾kos"
26222                           016 "Náh¾ad"
26223                           016 "Vrchol:"
26226                           016 "Ve¾kos:"
26227                           017 "Hrúbka:"
26300                           016 "Èísla"
26301                           020 "Kategória:"
26303                           026 "Èíselné formáty:"
26305                           016 "Náh¾ad"
26306                           016 "Staticky"
26307                           025 "Èíselnı formát:"
26400                           015 "Forma"
26401                           017 "Tvary:"
26500                           017 "Vzor"
26501                           014 "Vyplnenie"
26502                           020 "Automaticky"
26503                           016 "Farba"
26504                           018 "Vzor"
26505                           019 "Priebeh"
26506                           018 "Štruktúra"
26507                           016 "Staticky"
26509                           016 "Staticky"
26511                           016 "Staticky"
26513                           022 "3D-efekty"
26514                           016 "Orámovanie"
26515                           020 "Automaticky"
26516                           017 "Defin.uívate¾om"
26517                           017 "Druh:"
26519                           017 "Farba:"
26521                           017 "Tieòovanie"
26522                           016 "Náh¾ad"
26523                           022 "Prieh¾adné"
26525                           018 "Vzor:"
26526                           015 "Obrazovka"
26527                           025 "Otvorenie obrázka..."
26600                           019 "Èiara trendu"
26601                           031 "Typ trendu/regresie"
26603                           026 "Názov èiary trendu:"
26605                           020 "Automaticky"
26606                           018 "Trend"
26607                           019 "Dopredu:"
26610                           020 "Dozadu:"
26613                           019 "Obdobia:"
26616                           036 "Zobrazenie vzorca v diagrame"
26700                           015 "Zmena mierky"
26701                           015 "Zmena mierky"
26702                           029 "Zmena mierky osi kategórií"
26703                           033 "Os hodnôt pretína pri:"
26705                           057 "Poèet kategórií medzi popismi deliacich znaèiek:"
26707                           051 "Poèet kategórií medzi deliacimi znaèkami:"
26709                           048 "Os hodnôt pretína medzi kategóriami"
26710                           038 "Kategórie v opaènom poradí"
26712                           020 "Automaticky"
26713                           040 "Poèet vidite¾nıch kategórií:"
26715                           036 "Zaèiatok pri kategórii è.:"
26800                           015 "Zmena mierky"
26801                           027 "Zmena mierky osi radov"
26802                           053 "Poèet radov medzi popismi deliacich znaèiek:"
26804                           047 "Poèet radov medzi deliacimi znaèiek:"
26806                           034 "Rady v opaènom poradí"
26900                           015 "Zmena mierky"
26901                           026 "Zmena mierky osi hodnôt"
26902                           016 "Typ:"
26904                           021 "Odstup od diagramu:"
26907                           014 "Auto"
26908                           019 "Minimum:"
26911                           019 "Maximum:"
26914                           022 "Hlavnı interval:"
26919                           018 "Formát:"
26921                           022 "Pomocnı interval:"
26926                           018 "Formát:"
26928                           036 "Os kategórií pretína pri:"
26931                           034 "Hodnoty v opaènom poradí"
26933                           025 "Šírka dòa:"
26936                           027 "Náh¾ad zaèína pri:"
26938                           030 "Èiara pri skutoènom èase"
26939                           035 "Úplné zobrazenie èasovıch jedn."
26940                           027 "Sviatky farebne"
26942                           015 "Dátum:"
27000                           017 "Monosti"
27001                           016 "Staticky"
27005                           038 "Ve¾kos druhej plochy vıkresu"
27008                           016 "Stupeò"
27009                           023 "Håbka diagramu:"
27013                           039 "Druhá plocha vıkresu obsahuje:"
27016                           016 "Hodnoty"
27018                           031 "Farebne odlíšené dátové body"
27019                           025 "Èiary rozpätia"
27020                           023 "Klad./záporná odchılka"
27021                           026 "Zobrazená ve¾kos"
27022                           030 "Plocha bublín"
27023                           034 "Priemer bublín"
27024                           024 "Rozdelenie radu s:"
27026                           036 "Klad./záp.plochy odchıliek"
27027                           022 "Oblasti hodnôt"
27029                           017 "Pridanie..."
27030                           018 "Spracovanie..."
27031                           017 "Vımaz"
27033                           024 "Èiara najprv nahor"
27034                           020 "Automaticky"
27100                           020 "Typ diagramu"
27101                           022 "Typ diagramu:"
27103                           025 "Podtyp:"
27105                           033 "Priradenie všetkım dátovım radom"
27200                           015 "Hodnota"
27201                           018 "Os X:"
27204                           018 "Os Y:"
27207                           020 "Priemer:"
27300                           021 "Rozsah hodnôt"
27301                           017 "Minimum"
27302                           017 "Titulok:"
27304                           020 "Automaticky"
27305                           019 "Na pozadí"
27306                           016 "Hodnota:"
27309                           017 "Maximum"
27310                           017 "Titulok:"
27312                           020 "Automaticky"
27313                           019 "Na pozadí"
27314                           016 "Hodnota:"
27317                           017 "Optimum"
27318                           017 "Titulok:"
27320                           019 "Automaticky"
27321                           019 "Na pozadí"
27322                           016 "Hodnota:"
27325                           020 "Pozícia:"
27326                           020 "Pozícia:"
27327                           020 "Pozícia:"
27400                           015 "Titulok"
27401                           015 "Diagram"
27403                           028 "Os kategórií (X):"
27405                           025 "Os hodnôt (Y):"
27407                           038 "Sekundárna os kategórií (X):"
27409                           035 "Sekundárna os hodnôt (Y):"
27411                           019 "Presunute¾né"
27412                           019 "Zmenite¾né"
27413                           017 "Titulok:"
27414                           017 "Titulok:"
27415                           017 "Titulok:"
27416                           016 "Titulok:"
27417                           016 "Titulok:"
27418                           016 "Jednotka:"
27419                           016 "Jednotka:"
27420                           015 "Jednotka:"
27421                           015 "Jednotka:"
27500                           020 "Dátová tabu¾ka"
27501                           026 "Zobrazenie dátovej tab."
27502                           027 "Zobrazenie symbolu legendy"
27600                           029 "Štandardné rozdelenie"
27601                           029 "Oznaèenie"
27603                           020 "Automaticky"
27604                           016 "Stredná hodn.:"
27606                           030 "Štandardná odchılka:"
27608                           032 "Zobrazenie názvu v diagrame"
27700                           019 "Kvadranty"
27701                           016 "Stred"
27702                           018 "Os X:"
27705                           018 "Os Y:"
27708                           016 "Farby"
27709                           019 "Hore v¾avo:"
27711                           020 "Hore vpravo:"
27713                           023 "Dolu v¾avo:"
27715                           023 "Dolu vpravo"
27719                           018 "Vidite¾né"
27800                           028 "Oblas hodnôt - dátovı rad"
27801                           016 "Od:"
27804                           014 "Do:"
27807                           017 "Farba:"
27900                           017 "Monosti"
27901                           019 "Ståpce:"
27903                           015 "Riadky"
27906                           017 "Titulok:"
27908                           018 "Vidite¾né"
27910                           018 "Poloka"
27911                           017 "Defin.uívate¾om"
27912                           020 "Automaticky"
27913                           019 "Presunute¾né"
28000                           017 "Monosti"
28001                           017 "Titulok:"
28003                           018 "Vidite¾né"
28004                           017 "Šírka:"
28007                           020 "Automaticky"
28008                           021 "Zarovnanie:"
28010                           016 "Typ:"
28012                           029 "Spracovanie povolené"
28100                           017 "Monosti"
28101                           028 "Prispôsobenie ve¾kosti obj."
28103                           024 "Vidite¾né riadky:"
28106                           030 "Zobrazenie prázdnych hodnôt"
28107                           021 "Nie"
28108                           022 "Interpoluje"
28109                           014 "Nula"
28200                           016 "Tlaèidlo"
28201                           016 "Titulok:"
28203                           017 "Šírka:"
28206                           018 "Vıška:"
28209                           025 "Vertikálny odstup:"
28212                           028 "Horizontálny odstup:"
28216                           020 "Pozícia:"
28300                           014 "Bunka"
28301                           020 "Symbol legendy"
28302                           018 "Rad:"
28305                           017 "Bod:"
28308                           021 "Tabu¾ky uívate¾ov"
28400                           017 "Ukazovate¾"
28401                           023 "Popis ukazovate¾a"
28402                           017 "Popis:"
28500                           017 "Monosti"
28501                           018 "Poloka"
28502                           019 "Hore v¾avo"
28503                           020 "Hore vpravo"
28600                           017 "Monosti"
28601                           018 "Poloka"
