_SAPPCTXT_HEADER_               002 8000 CHART HE 1800 OK 
20064                           019 "הדפסה.."
20066                           024 "הגדרת עמוד..."
20072                           030 "סגור תצוגה מקדימה של הדפסה"
20087                           017 "לא ידוע"
20088                           014 "דק"
20089                           021 "אור נוסף"
20090                           015 "קל"
20091                           017 "רגיל"
20092                           016 "בינוני"
20093                           018 "מודגש למחצה"
20094                           014 "מודגש"
20095                           020 "מודגש מאוד"
20096                           015 "כבד"
20097                           021 "כבדות נוספת"
20098                           017 "נטוי"
20099                           017 "לא ידוע"
20105                           019 "קו תחתון"
20108                           022 "AaBbCcDdYyZz"
20109                           016 "אובייקט"
20110                           017 "אובייקטים"
20111                           033 "לא ניתן היה לקרוא את הקובץ!"
20112                           081 "אין מספיק זיכרון. סגור יישום אחד או מספר יישומים בבקשה."
20113                           044 "הסגנון שנבחר אינו קיים."
20114                           058 "הגודל של הגופן חייב להיות בין 1 ל-1635."
20115                           089 "הגופן שנבחר אינו זמין במערכת שלך. האם אתה עדיין רוצה להשתמש בו?"
20119                           020 "אובייקט..."
20128                           057 "גורם ההתמקדות חייב להיות בין 25% ו-400%."
20141                           055 "אנא הזן ערך הגדול יותר או שווה ל-0!"
20142                           055 "נא להזין ערך הגדול או שווה ל-1!"
20145                           079 "המספר של העמודים להתאמה חייב להיות לפחות 1 ולכל היותר 100!"
20147                           014 "גבוה"
20148                           016 "בינוני"
20149                           013 "נמוך"
20150                           016 "טיוטה"
20154                           023 "עיצוב מקרא"
20162                           091 "אף מדפסת אינה מותקנת או או אף מדפסת אינה מוגדרת כמדפסת תקנית."
22000                           031 "עיצוב אזור תרשים..."
22001                           024 "סוג תרשים..."
22002                           025 "מקור נתונים..."
22003                           027 "אפשרויות תרשים..."
22004                           021 "הצבת פורמט"
22005                           020 "סוג תרשים"
22006                           023 "אפשרויות תרשים"
22007                           032 "עצב סדרת נתונים..."
22008                           017 "&מחק"
22009                           028 "עצב סדרת נתונים"
22010                           019 "חפיפה:"
22011                           014 "בטל פעולה"
22012                           027 "שורות קישור"
22014                           030 "גודל תרשים שני"
22015                           021 "השמט שורות"
22018                           032 "הזוית של הפרוסה הראשונה"
22020                           030 "גודל פתח טבעת:"
22021                           012 "CW"
22022                           032 "הצג פריטי Bubble שליליים"
22023                           033 "התאם גודל בועה אל:"
22024                           022 "% ברירת מחדל"
22025                           031 "עצב נקודת נתונים..."
22026                           027 "עצב נקודת נתונים"
22027                           032 "עצב תוויות נתונים..."
22028                           028 "עצב תוויות נתונים"
22029                           031 "עצב תווית נתונים..."
22030                           027 "עצב תווית נתונים"
22031                           018 "תקני"
22032                           025 "ציר פורמט..."
22033                           021 "ציר פורמט"
22034                           060 "ערך המינימום חייב להיות גדול מאפס."
22035                           055 "ערך המינימום חייב להיות קטן מהמקסימום."
22036                           031 "עצב קווי רשת..."
22037                           026 "עצב קווי רשת"
22038                           027 "עצב קווים יורדים"
22039                           031 "עצב קווים יורדים..."
22040                           029 "עצב קווי סדרה..."
22041                           033 "עצב קווי סדרה..."
22042                           027 "עצב מפתח מקרא"
22043                           029 "עצב אינדקס מקרא"
22044                           031 "עצב מפתח מקרא..."
22045                           033 "עצב אינדקס מקרא..."
22046                           028 "עצב מקרא..."
22047                           026 "עצב תרשים..."
22048                           022 "סרגלי שגיאת X..."
22049                           022 "סרגלי שגיאת Y"
22050                           031 "עצב סרגלי שגיאה..."
22051                           027 "עצב סרגלי שגיאה"
22052                           021 "מקור נתונים"
22053                           021 "סדרות נתונים"
22054                           018 "ערכים:"
22055                           022 "X - ערכים:"
22056                           028 "ממשק לא תקף!"
22057                           035 "עצב קווים גבוהים-נמוכים..."
22058                           031 "עצב קווים גבוהים-נמוכים"
22059                           017 "סיום"
22060                           022 "אשף תרשים"
22061                           028 "עצב סרגלים עליונים..."
22062                           024 "עצב סרגלים עליונים"
22063                           030 "עצב סרגלים תחתונים..."
22064                           026 "עצב סרגלים תחתונים"
22065                           049 "אלמנט הצבה שני מכיל את האחרון:"
22066                           016 "ערכים"
22067                           056 "אלמנט הצבה שני מכיל את כל הערכים הקטנים מ:"
22068                           056 "אלמנט הצבה שני מכיל את כל הערכים הקטנים מ:"
22069                           057 "שימוש בעכבר להעברת הפרוסה בין העוגות."
22070                           065 "תרשים מלאי סגור גבוה נמוך חייב להכיל שלוש סדרות."
22074                           036 "אי אפשר להשתמש בסוג תרשים."
22075                           026 "שנה ערך..."
22076                           032 "עצב טווח ערכים..."
22077                           028 "עצב טווח ערכים"
22078                           027 "עצב אזור תרשים"
22079                           094 "המרחק חייב להיות בין 0 ל 500. נסה שוב על ידי הזנת ערך מהטווח הזה."
22080                           111 "הזוית של הפרוסה הראשונה חייבת להיות בין 0 ל 360. נסה שוב על ידי הזנת זוית של"
22081                           104 "גודל ה douhnut hole חייב להיות בין 10 ל 90. נסה שוב על ידי הזנת ערך מהטווח הזה"
22082                           096 "החפיפה חייבת להיות בין 100- ל 1000. נסה שוב על ידי הזנת ערך מהטווח הזה."
22083                           094 "המרחק חייב להיות בין 0 ל 200. נסה שוב על ידי הזנת ערך מהטווח הזה."
22084                           114 "גודל תחום ההצבה השני חייב להיות בין 5 ל 200. נסה שוב על ידי הזנת ערך"
22085                           095 "המספר חייב להיות בין 1 ל 31999. נסה שוב על ידי הזנת מספר מהטווח הזה."
22086                           020 "מרחק:"
22088                           016 "לינארי"
22089                           021 "לוגריתמי"
22090                           014 "שעה"
22091                           014 "אף אחד"
22092                           031 "התמקדות על ציר סולם-זמן"
22093                           030 "עצב אזור תרשים..."
22094                           016 "פורמט"
22095                           055 "גודל הסימון חייב להיות גדול מ-0"
22096                           047 "היחידה הראשית חייבת להיות גדולה מ-0."
22097                           047 "היחידה המשנית חייבת להיות גדולה מ-0."
22098                           024 "ערך לא חוקי"
22099                           029 "עצב אזורים עליונים..."
22100                           017 "מינימום"
22101                           017 "מקסימום"
22102                           017 "אופטימלי"
22103                           018 "מיקום"
22104                           034 "עצב כותרת טווח ערכים"
22105                           038 "עצב כותרת טווח ערכים..."
22106                           027 "תוית ציר רדאר"
22107                           016 "ציר X"
22108                           016 "ציר Y"
22109                           016 "ציר Z"
22110                           014 "רשת"
22111                           019 "אזור התרשים"
22112                           027 "כותרת טווך ערכים"
22113                           021 "טווח ערכים"
22114                           019 "סרגלים תחתונים"
22115                           017 "סרגלים עליונים"
22116                           024 "שורות גבוהות-נמוכות"
22117                           020 "סולם שגיאה"
22118                           022 "קווי סדרה"
22119                           020 "קווים יורדים"
22120                           017 "סדרות:"
22121                           019 "טקסטורה:"
22122                           017 "תווית:"
22123                           034 "שנה את פרוסות העוגה"
22124                           027 "הוסף קו מגמה..."
22125                           030 "עצב קו מגמה..."
22126                           026 "עצב קו מגמה"
22127                           036 "עצב תווית קו מגמה..."
22128                           032 "עצב תווית קו מגמה"
22129                           020 "קו מגמה"
22130                           025 "תווית קו מגמה"
22131                           022 "תצוגת 3D &..."
22132                           049 "הרוטציה חייבת להיות בין 0 ל 360."
22133                           048 "הגובה חייב להיות בין 90- ל 90."
22134                           052 "נקודת המבט חייבת להיות בין 0 ל 100."
22135                           024 "ציר שורת (Z):"
22136                           026 "ציר ערך (Y):"
22138                           022 "עצב רצפה"
22139                           026 "עצב רצפה..."
22140                           022 "עצב קירות"
22141                           026 "עצב קירות..."
22142                           015 "העתק"
22143                           021 "עומק פער:"
22144                           025 "מקור נתונים..."
22145                           025 "עצב אזורים עליונים"
22146                           030 "שמור כתבנית..."
22147                           060 "|| *.* | כל הקבצים )*.*( |icc .*|קבצי תרשים )icc.*("
22148                           026 "שמור כתבנית"
22149                           089 "גודל ציר סולם הזמן גדול מדי. זה יעובד אוטומטית."
22151                           027 "טען תבנית..."
22152                           043 "ציר ערך (X) מצטלב במקסימום"
22153                           023 "טען תבנית"
22154                           036 "ציר ערך (X) מצטלב ב:"
22155                           043 "ציר ערך (Y) מצטלב במקסימום"
22156                           032 "ציר ערך מצטלב ב:"
22157                           116 "מספר התקופות בממוצע התנועה חייב להיות לפחות 2 וקטן מהמספר"
22158                           080 "ערכי התחזית קדימה ואחורה חייבים להיות גדולים מ 0."
22159                           021 "תווית רדאר"
22160                           032 "עצב תווית רדאר..."
22161                           028 "עצב תווית רדאר"
22162                           048 "הגובה חייב להיות בין 45- ל-45."
22163                           047 "הגובה חייב להיות בין 10 ל-90."
22164                           018 "תצוגת 3D"
22165                           051 "רוחב יום חייב להיות גדול מ-0!"
22166                           027 "עצב טבלת נתונים"
22167                           031 "עצב טבלת נתונים..."
22168                           020 "טבלת נתונים"
22169                           028 "ציר קטגוריה (Y)"
22170                           025 "ציר ערך (X)"
22173                           117 "לקטגוריה אשר ממנה יתחילו אסור להיות מתחת ל 1. הערך יעובד בהתאם"
22174                           113 "למספר הקטגוריות הנראות לעין אסור להיות מתחת ל 1. הערך יעובד בהתאם"
22175                           039 "הוסף הפצה תקנית..."
22176                           042 "הפצה תקנית של פורמט..."
22177                           019 "הדפסה.."
22178                           024 "תצוגה מקדימה של הדפסה"
22179                           066 "ערכי ההתחלה חייבים להיות שונים מערכי הסיום."
22180                           077 "- לחץ 'כן' לשינוי כל סדרות הנתונים לסוג התרשים הנבחר."
22181                           054 "- לחץ 'לא' לשמירת סוג התרשים הנוכחי."
22191                           029 "סיווגי היסטוגרמות"
22192                           032 "התפלגות נורמלית:"
22193                           038 "תווית התפלגות נורמלית:"
22194                           038 "עצב התפלגות נורמלית"
22195                           044 "עצב תווית התפלגות נורמלית"
22196                           048 "עצב תווית התפלגות נורמלית..."
22197                           037 "עצב קו זמן בפועל..."
22198                           033 "עצב קו זמן בפועל"
22199                           029 "הוסף טווח ערכים..."
22200                           031 "עצב אזורים תחתונים..."
22201                           027 "עצב אזורים תחתונים"
22202                           018 "אזורים עליונים"
22203                           020 "אזורים תחתונים"
22204                           015 "מ-:"
22205                           013 "עד:"
22206                           022 "סגנון תמונה:"
22207                           032 "עצב אזור סימונים..."
22208                           028 "עצב אזור סימונים"
22209                           034 "עצב תווית מצביע..."
22210                           014 "שורה"
22211                           026 "עצב טבלה..."
22212                           022 "עצב טבלה"
22213                           020 "גופן כותרת"
22214                           023 "הוסף טבלה..."
22215                           024 "הוסף לחצן..."
22216                           027 "עצב עמודה..."
22217                           023 "עצב עמודה"
22218                           031 "העמודה קטנה מדי !"
22219                           025 "עצב תא..."
22220                           021 "עצב תא"
22221                           035 "עצב תוויות מצביע..."
22222                           030 "עצב תווית מצביע"
22223                           031 "עצב תוויות מצביע"
22224                           023 "עצב לחצן"
22225                           027 "עצב לחצן..."
22226                           036 "הצגת ערכי Bubble Border"
22228                           127 "לא ניתן ליצור את סרגל הזמן, מכיוון שהמרווח גדול מדי. אם תבחר ב'בטל', התאריך המקסימלי יוקדם."
22229                           016 "שלבים"
22230                           014 "עוד"
22231                           031 "התפלגות נורמלית"
22232                           019 "כותרת משנה"
22233                           012 "A"
22235                           020 "גופן כותרת"
22236                           019 "גופן תא"
22237                           019 "תרשים עוגה פרוס"
22238                           036 "עצב יחידת כותרת ציר..."
22239                           051 "הגדרת פורמט המספרים אינו תקף !"
22240                           092 "מותרים רק 10 טווחי ערכים! טווחי ערך נוספים יוסרו."
22241                           025 "מקור נתונים..."
22242                           035 "הוסף התפלגות נורמלית"
22400                           107 "קביעות סקאלת הזמן הנוכחיות מובילות ליותר מידי יחידות. בסוף יגרום לנסיגה איטית"
22401                           054 "האם אתה בטוח שכל הקביעות נכונות?"
22410                           101 "מספר הקטגוריות הגלויות אינן עוברות את מספר הקטגוריות הקיימות"
22411                           056 "הערך יותאם בהתאם."
